time,strategy,exchange,symbol,side,sec_type,type,status,price,filled_quantity,multiplier
2021-02-03 00:15:00-05:00,MachineLearningCrypto,SMART,BTC,sell,crypto,market,fill,36550.0,0.5463037498016234,1
2021-02-03 03:15:00-05:00,MachineLearningCrypto,SMART,BTC,buy,crypto,stop,canceled,,,1
2021-02-03 03:15:00-05:00,MachineLearningCrypto,SMART,BTC,buy,crypto,limit,fill,35922.02,0.5463037498016234,1
2021-02-04 04:15:00-05:00,MachineLearningCrypto,SMART,BTC,buy,crypto,market,fill,37310.31,0.5394675478782995,1
2021-02-04 05:45:00-05:00,MachineLearningCrypto,SMART,BTC,sell,crypto,stop,canceled,,,1
2021-02-04 05:45:00-05:00,MachineLearningCrypto,SMART,BTC,sell,crypto,limit,fill,37729.47,0.5394675478782995,1
2021-02-08 08:15:00-05:00,MachineLearningCrypto,SMART,BTC,sell,crypto,market,fill,42520.02,0.4659853491497291,1
2021-02-08 08:30:00-05:00,MachineLearningCrypto,SMART,BTC,buy,crypto,limit,canceled,,,1
2021-02-08 08:30:00-05:00,MachineLearningCrypto,SMART,BTC,buy,crypto,stop,fill,44014.98,0.4659853491497291,1
2021-02-08 11:15:00-05:00,MachineLearningCrypto,SMART,BTC,sell,crypto,market,fill,44173.09,0.4534200240101887,1
2021-02-08 11:45:00-05:00,MachineLearningCrypto,SMART,BTC,buy,crypto,stop,canceled,,,1
2021-02-08 11:45:00-05:00,MachineLearningCrypto,SMART,BTC,buy,crypto,limit,fill,43287.72090000001,0.4534200240101887,1
2021-02-09 00:15:00-05:00,MachineLearningCrypto,SMART,BTC,sell,crypto,market,fill,46799.23,0.4271743321687043,1
2021-02-09 01:45:00-05:00,MachineLearningCrypto,SMART,BTC,buy,crypto,limit,canceled,,,1
2021-02-09 01:45:00-05:00,MachineLearningCrypto,SMART,BTC,buy,crypto,stop,fill,47692.2,0.4271743321687043,1
2021-02-14 21:45:00-05:00,MachineLearningCrypto,SMART,BTC,buy,crypto,market,fill,46863.83,0.4337641849240613,1
2021-02-15 02:15:00-05:00,MachineLearningCrypto,SMART,BTC,sell,crypto,stop,canceled,,,1
2021-02-15 02:15:00-05:00,MachineLearningCrypto,SMART,BTC,sell,crypto,limit,fill,47282.89,0.4337641849240613,1
