time,strategy,exchange,symbol,side,sec_type,type,status,price,filled_quantity,multiplier
2021-01-04 11:16:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,limit,canceled,,,1
2021-01-04 11:16:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,stop,fill,43.9174684181,1126,1
2021-01-04 11:16:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,market,fill,43.9174684181,1126,1
2021-01-06 04:16:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,market,fill,42.0149697862,1195,1
2021-01-06 10:46:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,stop,canceled,,,1
2021-01-06 10:46:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,limit,fill,43.9674683821,1195,1
2021-01-11 09:16:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,market,fill,46.1649668018,1104,1
2021-01-11 09:31:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,limit,canceled,,,1
2021-01-11 09:31:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,stop,fill,46.14611344043399,1104,1
2021-01-11 14:16:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,market,fill,45.8749670104,1111,1
2021-01-11 14:16:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,limit,canceled,,,1
2021-01-11 14:16:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,stop,fill,45.8749670104,1111,1
2021-01-12 10:16:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,market,fill,45.2774674401,1131,1
2021-01-12 10:31:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,stop,canceled,,,1
2021-01-12 10:31:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,limit,fill,45.537722752908,1131,1
2021-01-14 13:46:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,market,fill,46.0499668845,1116,1
2021-01-14 15:16:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,limit,canceled,,,1
2021-01-14 15:16:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,stop,fill,45.7499671003,1116,1
2021-01-15 11:17:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,market,fill,44.3024681412,1154,1
2021-01-15 11:32:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,stop,canceled,,,1
2021-01-15 11:32:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,limit,fill,45.006392635,1154,1
2021-01-15 16:17:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,market,fill,44.1049682832,1165,1
2021-01-15 16:47:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,market,fill,44.0724683066,1168,1
2021-01-15 16:47:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,limit,canceled,,,1
2021-01-15 16:47:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,stop,fill,44.0724683066,1165,1
2021-01-19 04:16:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,market,fill,45.622467192,1149,1
2021-01-19 11:16:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,stop,canceled,,,1
2021-01-19 11:16:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,limit,fill,45.001513888503,1149,1
2021-01-19 12:46:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,limit,canceled,,,1
2021-01-19 12:46:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,stop,fill,45.8799670068,1156,1
2021-01-19 12:46:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,market,fill,45.8799670068,1156,1
2021-01-21 04:16:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,market,fill,50.2649638535,1104,1
2021-01-21 09:46:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,stop,canceled,,,1
2021-01-21 09:46:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,limit,fill,49.7299642382,1104,1
2021-01-25 04:16:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,market,fill,51.8649627029,1095,1
2021-01-25 09:46:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,limit,canceled,,,1
2021-01-25 09:46:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,stop,fill,52.459962275,1095,1
2021-01-25 13:16:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,market,fill,51.2592131385,1095,1
2021-01-25 15:46:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,stop,canceled,,,1
2021-01-25 15:46:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,limit,fill,51.2050131774,1104,1
2021-01-25 15:46:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,market,fill,51.2050131774,1104,1
2021-01-27 07:46:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,market,fill,50.5649636377,1104,1
2021-01-27 08:01:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,stop,canceled,,,1
2021-01-27 08:01:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,limit,fill,51.082718265391016,1104,1
2021-01-27 08:01:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,limit,canceled,,,1
2021-01-27 08:01:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,stop,fill,50.3299638067,1104,1
2021-01-27 09:46:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,limit,canceled,,,1
2021-01-27 09:46:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,stop,fill,48.8199648926,1134,1
2021-01-27 09:46:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,market,fill,48.8199648926,1134,1
2021-01-27 12:16:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,market,fill,49.294964551,1175,1
2021-01-27 14:46:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,market,fill,48.4349651694,1168,1
2021-01-27 15:01:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,limit,canceled,,,1
2021-01-27 15:01:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,stop,fill,47.5699657915,1175,1
2021-01-27 15:01:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,limit,canceled,,,1
2021-01-27 15:01:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,stop,fill,47.5699657915,1168,1
2021-01-28 04:16:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,market,fill,45.6949671398,1250,1
2021-01-28 07:16:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,stop,canceled,,,1
2021-01-28 07:16:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,limit,fill,46.78119335870101,1250,1
2021-01-28 16:16:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,market,fill,48.2249653205,1179,1
2021-01-28 19:01:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,limit,canceled,,,1
2021-01-28 19:01:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,stop,fill,47.7899656333,1179,1
2021-01-29 04:16:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,market,fill,46.3249666868,1227,1
2021-01-29 05:01:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,limit,canceled,,,1
2021-01-29 05:01:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,stop,fill,46.129966827,1227,1
2021-01-29 09:16:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,market,fill,47.7047656945,1188,1
2021-01-29 09:46:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,limit,canceled,,,1
2021-01-29 09:46:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,stop,fill,46.4149666221,1188,1
2021-01-29 11:46:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,market,fill,46.2499667407,1226,1
2021-01-29 12:01:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,stop,canceled,,,1
2021-01-29 12:01:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,limit,fill,46.5349665358,1226,1
2021-01-29 12:46:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,market,fill,44.9724676594,1242,1
2021-01-29 12:46:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,limit,canceled,,,1
2021-01-29 12:46:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,stop,fill,44.9724676594,1242,1
2021-01-29 16:16:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,market,fill,45.004967636,1257,1
2021-01-29 16:16:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,limit,canceled,,,1
2021-01-29 16:16:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,stop,fill,45.004967636,1257,1
2021-01-29 17:16:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,market,fill,44.9649676648,1277,1
2021-02-01 04:01:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,stop,canceled,,,1
2021-02-01 04:01:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,limit,fill,46.4999665609,1277,1
2021-02-01 08:46:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,market,fill,46.7399663883,1230,1
2021-02-01 09:31:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,stop,canceled,,,1
2021-02-01 09:31:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,limit,fill,46.94504724087799,1230,1
2021-02-10 10:46:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,market,fill,51.8899626849,1031,1
2021-02-10 10:46:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,limit,canceled,,,1
2021-02-10 10:46:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,stop,fill,51.8899626849,1031,1
2021-02-16 11:16:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,market,fill,55.2749602507,956,1
2021-02-16 11:16:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,limit,canceled,,,1
2021-02-16 11:16:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,stop,fill,55.1769435712115,956,1
2021-02-17 04:16:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,market,fill,54.5999607361,972,1
2021-02-17 04:46:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,limit,canceled,,,1
2021-02-17 04:46:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,stop,fill,54.3749608979,972,1
2021-02-17 10:46:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,market,fill,52.614262164,1032,1
2021-02-17 11:01:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,stop,canceled,,,1
2021-02-17 11:01:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,limit,fill,53.2749616889,1032,1
2021-02-17 11:46:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,limit,canceled,,,1
2021-02-17 11:46:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,stop,fill,52.1799624763,1041,1
2021-02-17 11:46:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,market,fill,52.1799624763,1041,1
2021-02-18 04:46:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,market,fill,53.0349618615,1027,1
2021-02-18 05:46:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,limit,canceled,,,1
2021-02-18 05:46:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,stop,fill,52.7865822900785,1027,1
2021-02-19 13:46:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,market,fill,52.61991216,1042,1
2021-02-19 14:31:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,limit,canceled,,,1
2021-02-19 14:31:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,stop,fill,52.1754124796,1042,1
2021-02-22 04:16:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,market,fill,50.4299637348,1105,1
2021-02-22 11:01:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,limit,canceled,,,1
2021-02-22 11:01:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,stop,fill,49.2099646121,1105,1
2021-02-23 04:16:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,limit,canceled,,,1
2021-02-23 04:16:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,stop,fill,47.4499658778,1164,1
2021-02-23 04:16:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,market,fill,47.4499658778,1164,1
2021-02-23 11:46:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,limit,canceled,,,1
2021-02-23 11:46:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,stop,fill,45.7300671146,1236,1
2021-02-23 11:46:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,market,fill,45.7300671146,1236,1
2021-02-23 13:16:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,market,fill,45.6999671362,1288,1
2021-02-23 13:16:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,stop,canceled,,,1
2021-02-23 13:16:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,limit,fill,45.6999671362,1288,1
